Manufacturer,ManPartNum,Description,ItemNum,Price,ListPr,OnHand,Wgt,UPC,Long Description,MAP/UP
Cortelco,006500-0M2-PAK,Replacement Handset (Type 65)Black,006500-0M2-PAK,12.11,12.35,9,0.25,,,
Cortelco,006500-VM2-PAK,Replacement Volume Control HandsetIncludes 1 Replacement HandsetBlack,006500-VM2-PAK,15.62,16.3,3,0.8,,Volume Control Handset (Black),
Cortelco,006500-VMD-PAK,Replacement Handset 2500/2554BlackGlobally SourcedNo Coil Cord,006500-VMD-PAK,7.59,8.5,0,0.35,,,
Cortelco,006509-VM2-PAK,Replacement Volume Control HandsetIvory,006509-VM2-PAK,15.62,16.3,0,0.8,,VOL. Control Handset (Ivory,
Cortelco,006512VM2PAK,Handset Volume Control,006512VM2PAK,15.62,16.3,0,0.55,,,
Cortelco,006513-0M2-PAK,Replacement HandsetBeige,006513-0M2-PAK,12.11,12.35,0,0.55,,,
Cortelco,006513-VM2-PAK,Replacement Volume Control HandsetBeige,006513-VM2-PAK,15.62,16.3,0,0.45,,,
Cortelco,006515-OM2-PAK,Replacement G Style HandsetWhite,006515-OM2-PAK,12.11,12.35,0,0.55,,,
Cortelco,006515-VM2-PAK,Replacement Volume Control HandsetWhite,006515-VM2-PAK,15.62,16.3,0,0.5,,,
Cortelco,006544-0M2-PAK,Replacement Handset (Type 65)Ash,006544-0M2-PAK,12.11,12.35,11,0.4,,,
Cortelco,006544-VM2-PAK,Replacement Handset for VBA ModelAsh,006544-VM2-PAK,15.62,16.3,0,0.65,,Amplified Handset for VBA,
Cortelco,006544-VMD-PAK,Replacement Handset for VBA ModelAsh (Global Model),006544-VMD-PAK,7.59,12.14,0,0.45,,Amplified Handset for VBA,
Cortelco,006545-OM2-PAK,Replacement G Style Handset w/o Volume ControlBrown,006545-OM2-PAK,12.11,12.35,0,0.35,,,
Cortelco,006545-VM2-PAK,Replacement Volume Control HandsetBrown,006545-VM2-PAK,15.62,16.3,0,0.55,,,
Cortelco,006547-0M2-PAK,Replacement HandsetRed,006547-0M2-PAK,12.11,12.35,0,0.35,48044002000,HandsetRed,
Cortelco,006547-VM2-PAK,Replacement Volume Control Handset for VBA ModelRed,006547-VM2-PAK,15.62,16.3,0,1.5,,Amplified Handest for VBA,
Cortelco,006547-VMD-PAK,Replacement Handset for the 2500 MD TelephoneRed,006547-VMD-PAK,7.59,8.5,0,0.4,,,
"Plantronics, Inc. (Plantronics Product)",201059-01,SpareRemote w/BatteryCA12CD-S(UPCS),201059-01,160.43,270,10,0.5,17229148741,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",201081-01,APC-82EHS Cable201081-01,201081-01,51.1,79.95,74,0.35,17229142800,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",201263-01,SpareSecurity lock CALISTO 620,201263-01,5.94,9.95,0,0,17229144194,Country of origin TW,
"Plantronics, Inc. (Plantronics Product)",201500-01,ENCOREPRO HW530,201500-01,59.77,112,1316,0.4,17229145856,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",201654-01,VOYAGER LEGEND/RUCNA,201654-01,105.66,179,0,0.3,17229144026,Country of origin CN,
"Plantronics, Inc. (Plantronics Product)",201851-01,DA70 USB Audio Processor,201851-01,31.49,59,0,0.25,17229146143,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",201852-01,DA80 USB Audio Processor for Headsets,201852-01,52.83,99,2527,0.001,17229146167,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",201853-01,DA 90,201853-01,55.5,104,17,0.15,17229146150,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",201885-04,Voyager FocusVoyager EdgeVoyager 5200 UC micro USB Charging Cable1M/3F,201885-04,5.94,9.95,0,0.001,17229150423,,
"Plantronics, Inc. (Plantronics Product)",201955-01,SpareEarbudsSmall ear gel kitQTY 3 and 1 EarloopVOYAGER EDGE,201955-01,2.97,4.95,1,0.2,17229144958,,
"Plantronics, Inc. (Plantronics Product)",201955-02,SpareEarbudsMedium Ear gel kitQty 3 And 1 EarloopVoyager Edge,201955-02,2.97,4.95,0,0.001,17229144965,,
"Plantronics, Inc. (Plantronics Product)",201955-03,SPARELarge Ear GEL Kit (3)EAR LOOP,201955-03,2.97,4.95,0,0.2,17229144989,,
"Plantronics, Inc. (Plantronics Product)",202118-01,Spare Voice TubeENCOREPRO HW510HW520,202118-01,2.97,9.95,0,0.001,17229146099,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",202268-01,API-28 EHS CABLE 3.5mm,202268-01,47.53,79.95,0,0.5,17229146426,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",202578-01,APU-72 EHS Cable,202578-01,51.1,79.95,184,0.2,17229146938,Country of origin MX,
"Plantronics, Inc. (Plantronics Product)",202580-01,Blackwire 725 UC,202580-01,119.11,179.99,76,0.25,17229146464,Country of origin CN,
"Plantronics, Inc. (Plantronics Product)",202581-01,Blackwire C725-M,202581-01,119.11,179.99,46,0.2,17229156463,Country of origin CN,
"Plantronics, Inc. (Plantronics Product)",202599-03,SpareBatteryCS510/520/710/720,202599-03,23.77,39.95,0,0.05,17229145757,Country of origin CN,
"Plantronics, Inc. (Plantronics Product)",202652-01,Voyager FocusUC BT HEADSETB825WW,202652-01,160.1,299.95,844,1.75,17229147782,Country of origin CN,
"Plantronics, Inc. (Plantronics Product)",202652-02,Voyager FocusUC BT HEADSETB825-MWW,202652-02,160.1,299.95,0,1.7,17229147799,Country of origin CN,
"Plantronics, Inc. (Plantronics Product)",202652-03,Voyager FocusUCB825NO STAND,202652-03,149.41,279.95,4,0.85,17229150003,Country of origin CN,
"Plantronics, Inc. (Plantronics Product)",202652-04,Voyager FocusUCB825-MNO STAND,202652-04,149.41,279.95,0,0.85,17229150010,,
"Plantronics, Inc. (Plantronics Product)",202653-02,VOYAGER FOCUS UCB825-MNo StandVending machine,202653-02,166.36,279.95,0,0,17229150034,,
"Plantronics, Inc. (Plantronics Product)",202997-02,Spare ENCOREPRO HW510/520Ear cushion kit (2),202997-02,1.31,4.95,4971,0.02,17229146075,,
"Plantronics, Inc. (Plantronics Product)",202999-02,SpareENCOREPRO HW510/HW520Ear cushion leatherette kit (2),202999-02,5.35,9.95,3,0.05,17229146112,,
"Plantronics, Inc. (Plantronics Product)",203108-02,EAR CUSHIONSQTY 2.AUDIO 665AUDIO 995,203108-02,5.94,9.95,0,0.001,17229147010,,
"Plantronics, Inc. (Plantronics Product)",203191-01,EncorePro HW510D,203191-01,59.23,111,8,0.5,17229146587,,
"Plantronics, Inc. (Plantronics Product)",203192-01,EncorePro HW520D,203192-01,69.91,131,4,0.35,17229146594,,
"Plantronics, Inc. (Plantronics Product)",203193-01,EncorePro HW530D,203193-01,61.37,115,2,0.4,17229146600,,
"Plantronics, Inc. (Plantronics Product)",203194-01,EncorePro HW540D,203194-01,66.7,125,19,0.5,17229146617,,
"Plantronics, Inc. (Plantronics Product)",203442-01,HW515 USB,203442-01,79.51,149,0,0.35,17229148673,,
"Plantronics, Inc. (Plantronics Product)",203444-01,HW525 USB EncorePro Binaural Headset with USB Connector,203444-01,95.52,179,34,0.35,17229151482,,
"Plantronics, Inc. (Plantronics Product)",203446-01,HW535 USB,203446-01,84.85,159,0,0.5,17229148697,,
"Plantronics, Inc. (Plantronics Product)",203474-01,HW545 USB,203474-01,90.18,169,1,0.45,17229151437,,
